split,policy,seed,H0,n_intervals,n_reference_updates,W,W_over_H0,delta_H,original_final_relative_energy_change,jump_sum,jump_sum_over_H0,boundary_term,boundary_over_H0,telescope_error,work_energy_error,max_interval_work_energy_error,max_stored_relative_energy_error,positive_net_interval_fraction,net_over_sum_absolute_interval_work,unreferenced_work_over_H0,reference_assisted_work_over_H0,updates_with_positive_post_power,updates_with_negative_post_power,max_nonfull_power_contraction_error
outside_class,fixed_streak,2026090700,0.29575,2000,123,0.5366336706989422,1.8144840936566091,0.5366336706989023,1.8144840936564743,0.49079459295655264,1.6594914385682253,0.0458390777423896,0.1549926550883841,-5.551115123125783e-17,3.985700658404312e-14,5.364632349458276e-16,0.0,0.951,0.9925260797872546,1.7764428022519625,0.03804129140464713,117,6,1.3357370765021415e-16
outside_class,class_horizon,2026090701,0.5670000000000001,2000,167,0.6157178585170158,1.0859221490599924,0.6157178585169382,1.0859221490598556,0.4549453652273277,0.8023727781787083,0.16077249328968807,0.283549370881284,0.0,7.760458942129844e-14,7.967801765595972e-16,0.0,0.9665,0.9997519986199299,1.0512031047237715,0.03471904433622132,160,6,1.700029006457271e-16
outside_class,empirical_horizon,2026090701,0.5670000000000001,2000,116,1.097816831746958,1.9361848884426067,1.097816831746901,1.9361848884425061,0.9398425547590107,1.6575706433139517,0.15797427698794744,0.27861424512865507,0.0,5.706546346573305e-14,1.4538066930858129e-15,0.0,0.9535,0.9990310161513619,1.8949637691620616,0.04122111928054603,108,7,2.636779683484747e-16
outside_class,fixed_streak,2026090701,0.5670000000000001,2000,126,1.0017117863221985,1.7666874538310378,1.0017117863221219,1.7666874538309025,0.8460729375709131,1.4921921297546965,0.15563884875128545,0.27449532407634114,0.0,7.66053886991358e-14,9.281854798648403e-16,0.0,0.96,0.9994959811067318,1.7292011779205851,0.037486275910453906,118,7,1.734723475976807e-16
outside_class,class_horizon,2026090702,1.0937499999999998,2000,216,0.7941525372480542,0.7260823197696498,0.7941525372479636,0.7260823197695669,0.5649502850097244,0.5165259748660339,0.2292022522383297,0.20955634490361577,1.1102230246251565e-16,9.059419880941277e-14,1.5228703714731395e-15,0.0,0.976,0.9998814071066237,0.6941126562300256,0.03196966353962268,207,8,1.9255430583342559e-16
outside_class,empirical_horizon,2026090702,1.0937499999999998,2000,144,1.3819336245917466,1.2634821710553115,1.3819336245916,1.2634821710551776,1.1806787551704454,1.079477719012979,0.20125486942130105,0.18400445204233243,2.220446049250313e-16,1.4654943925052066e-13,1.6696713456276768e-15,0.0,0.959,0.9994321738226218,1.2280105288095224,0.03547164224578717,138,5,3.191891195797325e-16
outside_class,fixed_streak,2026090702,1.0937499999999998,2000,128,1.8120205143075687,1.6567044702240632,1.8120205143074382,1.6567044702239437,1.6400289768783618,1.4994550645745026,0.17199153742920698,0.1572494056495607,0.0,1.305622276959184e-13,1.9446250165700008e-15,0.0,0.9585,0.9994786175704852,1.6202984346221574,0.036406035601907256,122,5,3.677613769070831e-16
outside_class,class_horizon,2026090703,1.68175,2000,259,0.9901585068026613,0.5887667648596172,0.9901585068025316,0.58876676485954,0.50670181705508,0.30129437612907983,0.4834566897475814,0.28747238873053743,-1.1102230246251565e-16,1.2967404927621828e-13,1.676610239531584e-15,0.0,0.9815,0.9999311546494641,0.5561342901063879,0.032632474753228065,252,6,4.354155924701786e-16
outside_class,empirical_horizon,2026090703,1.68175,2000,172,1.7172638917212353,1.0211172241541462,1.7172638917210232,1.02111722415402,1.2368115193209765,0.7354312587013387,0.4804523724002589,0.28568596545280744,-2.220446049250313e-16,2.120525977034049e-13,2.449863228948246e-15,0.0,0.9695,0.9996826352107039,0.9859281777181953,0.03518904643594995,166,5,5.412337245047638e-16
outside_class,fixed_streak,2026090703,1.68175,2000,128,2.8399988499561797,1.688716426315552,2.8399988499559807,1.6887164263154337,2.35777797143294,1.4019788740496149,0.4822208785232394,0.2867375522659369,4.440892098500626e-16,1.9895196601282805e-13,2.8449465006019636e-15,0.0,0.9595,0.9994991095936671,1.6530331046489084,0.035683321666646076,120,5,5.967448757360216e-16
